"Observations from October 7, 1896 to July 30, 1914 are from the first DJIA and has been adjusted to merge with the second series.  "

"Citation: Samuel H. Williamson, 'Daily Closing Value of the Dow Jones Average, 1885 to Present,' MeasuringWorth, 2026. "
"Date","DJIA"
"9/9/1897","40.8844"
"9/10/1897","40.8917"
"9/11/1897","40.8112"
"9/13/1897","40.0053"
"9/14/1897","40.5474"
"9/15/1897","40.7452"
"9/16/1897","40.4888"
"9/17/1897","40.628"
"9/18/1897","40.5474"
"9/20/1897","40.042"
"9/21/1897","38.4816"
"9/22/1897","39.1556"
"9/23/1897","39.2655"
"9/24/1897","38.445"
"9/25/1897","38.3131"
"9/27/1897","38.7746"
"9/28/1897","38.3204"
"9/29/1897","38.0201"
"9/30/1897","37.3461"
"10/1/1897","37.7564"
"10/2/1897","38.5256"
"10/4/1897","38.5768"
"10/5/1897","38.2838"
"10/6/1897","37.9395"
"10/7/1897","37.6318"
"10/8/1897","37.8296"
"10/9/1897","37.2729"
"10/11/1897","37.0971"
"10/12/1897","35.6319"
"10/13/1897","36.0788"
"10/14/1897","35.7418"
"10/15/1897","35.4708"
"10/16/1897","35.5953"
"10/18/1897","36.0422"
"10/19/1897","36.511"
"10/20/1897","36.9139"
"10/21/1897","36.4964"
"10/22/1897","36.6282"
"10/23/1897","36.3791"
"10/25/1897","35.7198"
"10/26/1897","35.9689"
"10/27/1897","35.6026"
"10/28/1897","35.5001"
"10/29/1897","35.7565"
"10/30/1897","35.9176"
"11/1/1897","35.9762"
"11/3/1897","34.9213"
"11/4/1897","34.6576"
"11/5/1897","33.5002"
"11/6/1897","33.9324"
"11/8/1897","33.4416"
"11/9/1897","34.0862"
"11/10/1897","34.5184"
"11/11/1897","33.8371"
"11/12/1897","34.0203"
"11/13/1897","34.5184"
"11/15/1897","34.0423"
"11/16/1897","34.4672"
"11/17/1897","34.306"
"11/18/1897","34.4232"
"11/19/1897","34.6283"
"11/20/1897","34.599"
"11/22/1897","34.3499"
"11/23/1897","34.1595"
"11/24/1897","33.8518"
"11/26/1897","34.2108"
"11/27/1897","34.5697"
"11/29/1897","34.284"
"11/30/1897","34.7675"
"12/1/1897","35.4634"
"12/2/1897","35.3902"
"12/3/1897","35.3902"
"12/4/1897","35.3316"
"12/6/1897","35.7418"
"12/7/1897","36.2326"
"12/8/1897","36.1814"
"12/9/1897","36.3352"
"12/10/1897","36.0275"
"12/11/1897","36.2473"
"12/13/1897","36.489"
"12/14/1897","36.3865"
"12/15/1897","35.9103"
"12/16/1897","35.5587"
"12/17/1897","35.2656"
"12/18/1897","35.7784"
"12/20/1897","35.4927"
"12/21/1897","35.3462"
"12/22/1897","35.5587"
"12/23/1897","35.7784"
"12/24/1897","36.1814"
"12/27/1897","36.1081"
"12/28/1897","36.1447"
"12/29/1897","36.1374"
"12/30/1897","36.0495"
"12/31/1897","36.196"
"1/3/1898","36.1227"
"1/4/1898","35.8297"
"1/5/1898","36.2839"
"1/6/1898","36.7601"
"1/7/1898","37.119"
"1/8/1898","37.0824"
"1/10/1898","37.0165"
"1/11/1898","36.87"
"1/12/1898","36.7674"
"1/13/1898","36.5183"
"1/14/1898","36.3572"
"1/15/1898","36.0055"
"1/17/1898","36.1594"
"1/18/1898","35.7565"
"1/19/1898","36.1008"
"1/20/1898","35.9396"
"1/21/1898","35.837"
"1/22/1898","35.8077"
"1/24/1898","35.1631"
"1/25/1898","35.6466"
"1/26/1898","36.2839"
"1/27/1898","36.4671"
"1/28/1898","36.1301"
"1/29/1898","36.3059"
"1/31/1898","36.6355"
"2/1/1898","36.4524"
"2/2/1898","36.2912"
"2/3/1898","36.2912"
"2/4/1898","36.4964"
"2/5/1898","36.7967"
"2/7/1898","36.7088"
"2/8/1898","36.3498"
"2/9/1898","36.5257"
"2/10/1898","36.7454"
"2/11/1898","36.7308"
"2/14/1898","36.2546"
"2/15/1898","36.6575"
"2/16/1898","35.8737"
"2/17/1898","36.0422"
"2/18/1898","35.5953"
"2/19/1898","35.0093"
"2/21/1898","34.5111"
"2/23/1898","33.8152"
"2/24/1898","32.7237"
"2/25/1898","33.1925"
"2/26/1898","33.0899"
"2/28/1898","33.8225"
"3/1/1898","34.7748"
"3/2/1898","34.1228"
"3/3/1898","34.1009"
"3/4/1898","33.8152"
"3/5/1898","33.5002"
"3/7/1898","32.8628"
"3/8/1898","33.1852"
"3/9/1898","33.339"
"3/10/1898","33.2438"
"3/11/1898","32.5552"
"3/12/1898","31.7127"
"3/14/1898","32.7676"
"3/15/1898","32.5332"
"3/16/1898","33.3537"
"3/17/1898","32.6357"
"3/18/1898","32.8628"
"3/19/1898","32.8482"
"3/21/1898","32.5991"
"3/22/1898","31.8299"
"3/23/1898","31.6614"
"3/24/1898","31.3025"
"3/25/1898","30.7677"
"3/26/1898","31.4636"
"3/28/1898","33.2145"
"3/29/1898","32.5918"
"3/30/1898","33.8078"
"3/31/1898","33.2731"
"4/1/1898","32.3354"
"4/2/1898","32.6724"
"4/4/1898","33.3903"
"4/5/1898","33.0094"
"4/6/1898","33.7126"
"4/7/1898","33.6833"
"4/8/1898","33.317"
"4/9/1898","33.361"
"4/11/1898","33.6613"
"4/12/1898","33.9324"
"4/13/1898","33.1046"
"4/14/1898","33.7419"
"4/15/1898","33.2364"
"4/16/1898","32.6211"
"4/18/1898","32.9068"
"4/19/1898","32.5845"
"4/20/1898","32.6431"
"4/21/1898","31.6981"
"4/22/1898","32.1376"
"4/23/1898","32.6357"
"4/25/1898","32.2475"
"4/26/1898","32.4966"
"4/27/1898","32.5259"
"4/28/1898","32.9727"
"4/29/1898","33.5148"
"4/30/1898","33.698"
"5/2/1898","35.6026"
"5/3/1898","35.3829"
"5/5/1898","36.2107"
"5/6/1898","36.0129"
"5/7/1898","36.9212"
"5/9/1898","37.3974"
"5/10/1898","36.9652"
"5/11/1898","37.8223"
"5/12/1898","37.4267"
"5/13/1898","37.2289"
"5/14/1898","37.1264"
"5/16/1898","36.87"
"5/17/1898","37.5512"
"5/18/1898","37.0311"
"5/19/1898","37.3901"
"5/20/1898","37.1703"
"5/21/1898","37.6538"
"5/23/1898","37.8956"
"5/24/1898","38.3058"
"5/25/1898","37.9981"
"5/26/1898","38.0201"
"5/27/1898","38.152"
"5/28/1898","38.1959"
"5/31/1898","38.6354"
"6/1/1898","38.7307"
"6/2/1898","39.0896"
"6/3/1898","38.6574"
"6/4/1898","38.9211"
"6/6/1898","39.0677"
"6/7/1898","39.0457"
"6/8/1898","38.9358"
"6/9/1898","38.9138"
"6/10/1898","39.346"
"6/11/1898","39.0164"
"6/13/1898","38.5402"
"6/14/1898","38.2399"
"6/15/1898","37.2655"
"6/16/1898","37.9249"
"6/17/1898","38.1886"
"6/18/1898","37.749"
"6/20/1898","38.0201"
"6/21/1898","37.8956"
"6/22/1898","37.6392"
"6/23/1898","37.9029"
"6/24/1898","38.1007"
"6/25/1898","38.3571"
"6/27/1898","38.5768"
"6/28/1898","38.4157"
"6/29/1898","38.6721"
"6/30/1898","38.5475"
"7/1/1898","38.8259"
"7/5/1898","38.8186"
"7/6/1898","38.6647"
"7/7/1898","38.8918"
"7/8/1898","39.0091"
"7/9/1898","39.1775"
"7/11/1898","39.0823"
"7/12/1898","38.9431"
"7/13/1898","38.5402"
"7/14/1898","38.9358"
"7/15/1898","38.4816"
"7/16/1898","38.3644"
"7/18/1898","38.2911"
"7/19/1898","38.3278"
"7/20/1898","38.5622"
"7/21/1898","38.9211"
"7/22/1898","38.8332"
"7/23/1898","38.9798"
"7/25/1898","39.3167"
"7/26/1898","39.683"
"7/27/1898","39.3973"
"7/28/1898","39.4486"
"7/29/1898","39.5731"
"7/30/1898","39.705"
"8/1/1898","39.998"
"8/2/1898","40.4815"
"8/3/1898","40.628"
"8/4/1898","40.4815"
"8/5/1898","40.9137"
"8/6/1898","40.9723"
"8/8/1898","41.2507"
"8/9/1898","41.2434"
"8/10/1898","41.4705"
"8/11/1898","41.4265"
"8/12/1898","41.1774"
"8/13/1898","41.6316"
"8/15/1898","42.1225"
"8/16/1898","42.8184"
"8/17/1898","43.1407"
"8/18/1898","42.5473"
"8/19/1898","43.2872"
"8/22/1898","43.507"
"8/23/1898","43.6828"
"8/24/1898","43.7487"
"8/25/1898","44.3348"
"8/26/1898","44.6645"
"8/27/1898","44.452"
"8/29/1898","43.6389"
"8/30/1898","43.8953"
"8/31/1898","44.2103"
"9/1/1898","44.3201"
"9/2/1898","44.2322"
"9/6/1898","44.0711"
"9/7/1898","43.1627"
"9/8/1898","42.8843"
"9/9/1898","42.3202"
"9/10/1898","42.7671"
"9/12/1898","42.5473"
"9/13/1898","42.1591"
"9/14/1898","42.0638"
"9/15/1898","42.7671"
"9/16/1898","42.518"
"9/17/1898","42.6059"
"9/19/1898","42.203"
"9/20/1898","41.9247"
"9/21/1898","42.7305"
"9/22/1898","42.2909"
"9/23/1898","42.2177"
"9/24/1898","42.1444"
"9/26/1898","41.4265"
"9/27/1898","40.4522"
"9/28/1898","39.9394"
"9/29/1898","40.2031"
"9/30/1898","39.1482"
"10/1/1898","38.4743"
"10/3/1898","39.2801"
"10/4/1898","39.412"
"10/5/1898","39.3827"
"10/6/1898","39.0896"
"10/7/1898","38.8845"
"10/8/1898","39.0237"
"10/10/1898","38.467"
"10/11/1898","37.9835"
"10/12/1898","37.9542"
"10/13/1898","38.7307"
"10/14/1898","38.2985"
"10/15/1898","38.0201"
"10/17/1898","38.2252"
"10/18/1898","37.9175"
"10/19/1898","37.771"
"10/20/1898","37.9468"
"10/21/1898","38.2472"
"10/22/1898","38.8332"
"10/24/1898","38.716"
"10/25/1898","39.2948"
"10/26/1898","39.727"
"10/27/1898","39.7343"
"10/28/1898","40.2105"
"10/29/1898","40.1079"
"10/31/1898","40.606"
"11/1/1898","40.2471"
"11/2/1898","39.9321"
"11/3/1898","40.2544"
"11/4/1898","40.1079"
"11/5/1898","40.2398"
"11/7/1898","40.7086"
"11/9/1898","40.5108"
"11/10/1898","41.0383"
"11/11/1898","41.3166"
"11/12/1898","41.8587"
"11/14/1898","41.8148"
"11/15/1898","41.6829"
"11/16/1898","41.5877"
"11/17/1898","41.6023"
"11/18/1898","41.4485"
"11/19/1898","41.6243"
"11/21/1898","41.573"
"11/22/1898","41.7342"
"11/23/1898","41.5437"
"11/25/1898","41.2214"
"11/26/1898","41.3899"
"11/28/1898","41.6023"
"11/29/1898","41.6756"
"11/30/1898","41.9027"
"12/1/1898","42.6059"
"12/2/1898","42.5913"
"12/3/1898","42.8184"
"12/5/1898","42.7085"
"12/6/1898","42.7085"
"12/7/1898","42.8697"
"12/8/1898","43.2506"
"12/9/1898","43.7707"
"12/10/1898","44.0344"
"12/12/1898","44.159"
"12/13/1898","43.6096"
"12/14/1898","43.4997"
"12/15/1898","43.1993"
"12/16/1898","43.0821"
"12/17/1898","43.0308"
"12/19/1898","43.0601"
"12/20/1898","43.3019"
"12/21/1898","43.3605"
"12/22/1898","43.5363"
"12/23/1898","44.0198"
"12/27/1898","44.2615"
"12/28/1898","43.2213"
"12/29/1898","44.0711"
"12/30/1898","44.3348"
"1/3/1899","44.2542"
"1/4/1899","44.4593"
"1/5/1899","44.6205"
"1/6/1899","44.5839"
"1/7/1899","44.9428"
"1/9/1899","45.4043"
"1/10/1899","45.0161"
"1/11/1899","44.9135"
"1/12/1899","44.8549"
"1/13/1899","45.2065"
"1/14/1899","45.0014"
"1/16/1899","44.8915"
"1/17/1899","44.9868"
"1/18/1899","45.3677"
"1/19/1899","45.6388"
"1/20/1899","45.712"
"1/21/1899","45.5509"
"1/23/1899","45.69"
"1/24/1899","45.2725"
"1/25/1899","46.1882"
"1/26/1899","46.7596"
"1/27/1899","47.353"
"1/28/1899","47.5215"
"1/30/1899","47.6313"
"1/31/1899","47.1405"
"2/1/1899","47.2064"
"2/2/1899","46.8328"
"2/3/1899","46.5984"
"2/4/1899","46.4373"
"2/6/1899","46.1882"
"2/7/1899","45.3824"
"2/8/1899","45.5875"
"2/9/1899","45.4922"
"2/10/1899","45.4996"
"2/14/1899","45.8219"
"2/15/1899","45.7853"
"2/16/1899","45.9318"
"2/17/1899","46.2468"
"2/18/1899","47.4409"
"2/20/1899","48.906"
"2/21/1899","49.0012"
"2/23/1899","49.3162"
"2/24/1899","49.3382"
"2/25/1899","49.4627"
"2/27/1899","49.0672"
"2/28/1899","48.9206"
"3/1/1899","48.8181"
"3/2/1899","48.276"
"3/3/1899","49.0965"
"3/4/1899","48.884"
"3/6/1899","48.3126"
"3/7/1899","48.6423"
"3/8/1899","49.2943"
"3/9/1899","49.5653"
"3/10/1899","49.9169"
"3/11/1899","49.9316"
"3/13/1899","50.4664"
"3/14/1899","50.5323"
"3/15/1899","50.4737"
"3/16/1899","51.7996"
"3/17/1899","52.2025"
"3/18/1899","52.7593"
"3/20/1899","52.1513"
"3/21/1899","52.2172"
"3/22/1899","52.6201"
"3/23/1899","52.4223"
"3/24/1899","52.73"
"3/25/1899","53.0377"
"3/27/1899","54.012"
"3/28/1899","54.7226"
"3/29/1899","54.3343"
"3/30/1899","54.4515"
"4/1/1899","55.0522"
"4/3/1899","55.6895"
"4/4/1899","55.7042"
"4/5/1899","55.5797"
"4/6/1899","54.3343"
"4/7/1899","53.5358"
"4/8/1899","53.5798"
"4/10/1899","53.1842"
"4/11/1899","54.5687"
"4/12/1899","55.0156"
"4/13/1899","55.1841"
"4/14/1899","55.7042"
"4/15/1899","55.8947"
"4/17/1899","55.6456"
"4/18/1899","55.9386"
"4/19/1899","55.8873"
"4/20/1899","55.7115"
"4/21/1899","56.195"
"4/22/1899","56.4148"
"4/24/1899","56.0632"
"4/25/1899","56.6126"
"4/26/1899","56.51"
"4/27/1899","56.4294"
"4/28/1899","56.4807"
"4/29/1899","56.195"
"5/1/1899","54.642"
"5/2/1899","55.7042"
"5/3/1899","55.6749"
"5/4/1899","55.228"
"5/5/1899","54.5614"
"5/6/1899","54.0852"
"5/8/1899","52.8765"
"5/9/1899","51.2649"
"5/10/1899","53.0889"
"5/11/1899","52.6567"
"5/12/1899","52.8765"
"5/13/1899","50.8107"
"5/15/1899","51.111"
"5/16/1899","51.9828"
"5/17/1899","53.2941"
"5/18/1899","52.6274"
"5/19/1899","52.6054"
"5/20/1899","52.5761"
"5/22/1899","52.5322"
"5/23/1899","52.0194"
"5/24/1899","51.4773"
"5/25/1899","51.8363"
"5/26/1899","51.492"
"5/27/1899","50.9205"
"5/31/1899","49.4554"
"6/1/1899","50.1074"
"6/2/1899","51.3601"
"6/3/1899","51.3747"
"6/5/1899","51.0817"
"6/6/1899","51.3454"
"6/7/1899","51.7996"
"6/8/1899","52.034"
"6/9/1899","52.9571"
"6/10/1899","53.0523"
"6/12/1899","53.5358"
"6/13/1899","52.6567"
"6/14/1899","52.686"
"6/15/1899","52.5322"
"6/16/1899","52.4663"
"6/17/1899","52.2318"
"6/19/1899","51.5945"
"6/20/1899","51.4993"
"6/21/1899","50.8326"
"6/22/1899","50.4297"
"6/23/1899","51.1476"
"6/24/1899","51.2502"
"6/26/1899","51.1696"
"6/27/1899","51.6018"
"6/28/1899","51.6751"
"6/29/1899","51.4114"
"6/30/1899","51.5579"
"7/1/1899","51.7703"
"7/5/1899","52.3637"
"7/6/1899","52.686"
"7/7/1899","52.8545"
"7/8/1899","52.5175"
"7/10/1899","51.6824"
"7/11/1899","52.2685"
"7/12/1899","52.415"
"7/13/1899","52.5029"
"7/14/1899","52.0267"
"7/15/1899","52.1146"
"7/17/1899","51.9388"
"7/18/1899","52.2831"
"7/19/1899","52.0634"
"7/20/1899","52.4296"
"7/21/1899","52.8032"
"7/22/1899","52.5175"
"7/24/1899","52.5615"
"7/25/1899","52.8838"
"7/26/1899","52.7373"
"7/27/1899","53.0963"
"7/28/1899","53.4406"
"7/29/1899","53.4772"
"7/31/1899","54.012"
"8/1/1899","54.1292"
"8/2/1899","54.4222"
"8/3/1899","54.6566"
"8/4/1899","54.7079"
"8/5/1899","54.2684"
"8/7/1899","53.9753"
"8/8/1899","54.3783"
"8/9/1899","54.642"
"8/10/1899","55.2134"
"8/11/1899","55.0815"
"8/12/1899","55.5211"
"8/14/1899","55.8434"
"8/15/1899","55.4038"
"8/16/1899","55.0522"
"8/17/1899","55.3965"
"8/18/1899","55.4112"
"8/19/1899","55.7188"
"8/21/1899","55.4771"
"8/22/1899","55.0156"
"8/23/1899","55.6749"
"8/24/1899","55.3892"
"8/25/1899","55.3745"
"8/26/1899","55.3892"
"8/28/1899","55.4112"
"8/29/1899","55.1328"
"8/30/1899","55.7042"
"8/31/1899","55.4258"
"9/1/1899","55.3599"
"9/2/1899","55.4991"
"9/5/1899","56.8543"
"9/6/1899","56.3855"
"9/7/1899","56.1218"
"9/8/1899","56.0851"
"9/9/1899","56.4148"
"9/11/1899","55.3745"
"9/12/1899","54.7079"
"9/13/1899","55.7555"
"9/14/1899","55.4185"
"9/15/1899","54.6127"
"9/16/1899","53.8728"
"9/18/1899","53.0303"
"9/19/1899","53.5505"
"9/20/1899","53.1475"
"9/21/1899","53.5505"
"9/22/1899","54.3709"
"9/23/1899","54.1072"
"9/25/1899","53.3014"
"9/26/1899","53.0377"
"9/27/1899","53.2135"
"9/28/1899","53.382"
"10/2/1899","51.9754"
"10/3/1899","51.9901"
"10/4/1899","52.5468"
"10/5/1899","52.7666"
"10/6/1899","52.9644"
"10/7/1899","53.2428"
"10/9/1899","53.2355"
"10/10/1899","53.8215"
"10/11/1899","53.4772"
"10/12/1899","53.0743"
"10/13/1899","52.6054"
"10/14/1899","52.6348"
"10/16/1899","53.0889"
"10/17/1899","52.9058"
"10/18/1899","53.4259"
"10/19/1899","53.3746"
"10/20/1899","53.5578"
"10/21/1899","53.7629"
"10/23/1899","54.6566"
"10/24/1899","54.4369"
"10/25/1899","54.5101"
"10/26/1899","54.5907"
"10/27/1899","54.5174"
"10/28/1899","54.8178"
"10/30/1899","54.4808"
"10/31/1899","54.9204"
"11/1/1899","55.0669"
"11/2/1899","55.4698"
"11/3/1899","55.1914"
"11/4/1899","54.891"
"11/6/1899","55.0376"
"11/8/1899","55.0376"
"11/9/1899","54.4881"
"11/10/1899","53.968"
"11/11/1899","53.5212"
"11/13/1899","54.2684"
"11/14/1899","54.327"
"11/15/1899","54.7006"
"11/16/1899","55.294"
"11/17/1899","55.5284"
"11/18/1899","55.6236"
"11/20/1899","55.4038"
"11/21/1899","54.979"
"11/22/1899","55.0888"
"11/23/1899","55.3086"
"11/24/1899","55.5284"
"11/27/1899","55.4478"
"11/28/1899","55.294"
"11/29/1899","55.3452"
"12/1/1899","55.2866"
"12/2/1899","55.4405"
"12/4/1899","54.4002"
"12/5/1899","53.8948"
"12/6/1899","53.8655"
"12/7/1899","53.4992"
"12/8/1899","51.4773"
"12/9/1899","50.7374"
"12/11/1899","49.3968"
"12/12/1899","49.4774"
"12/13/1899","46.9061"
"12/14/1899","47.8072"
"12/15/1899","48.5031"
"12/16/1899","46.7669"
"12/18/1899","42.6865"
"12/19/1899","44.7011"
"12/20/1899","44.8256"
"12/21/1899","43.9319"
"12/22/1899","42.9942"
"12/23/1899","44.3714"
"12/26/1899","45.419"
"12/27/1899","47.2284"
"12/28/1899","47.1698"
"12/29/1899","48.1515"
"12/30/1899","48.4079"
"1/2/1900","49.9096"
"1/3/1900","48.7961"
"1/4/1900","49.1917"
"1/5/1900","48.8694"
"1/6/1900","48.3639"
"1/8/1900","48.6496"
"1/9/1900","47.6094"
"1/10/1900","46.9867"
"1/11/1900","46.3493"
"1/12/1900","47.5654"
"1/13/1900","47.4702"
"1/15/1900","47.0453"
"1/16/1900","47.0966"
"1/17/1900","47.2944"
"1/18/1900","47.0892"
"1/19/1900","47.8291"
"1/20/1900","47.4921"
"1/22/1900","47.8877"
"1/23/1900","47.1625"
"1/24/1900","47.4116"
"1/25/1900","47.6533"
"1/26/1900","47.0526"
"1/27/1900","47.0819"
"1/29/1900","47.2138"
"1/30/1900","48.3932"
"1/31/1900","48.4445"
"2/1/1900","49.3309"
"2/2/1900","49.7118"
"2/3/1900","49.7265"
"2/5/1900","50.0781"
"2/6/1900","49.8364"
"2/7/1900","49.7704"
"2/8/1900","49.4188"
"2/9/1900","48.9793"
"2/10/1900","48.8327"
"2/13/1900","49.3675"
"2/14/1900","49.0086"
"2/15/1900","49.1404"
"2/16/1900","48.6423"
"2/17/1900","48.2101"
"2/19/1900","48.5324"
"2/20/1900","48.4665"
"2/21/1900","48.0489"
"2/23/1900","47.2651"
"2/24/1900","46.972"
"2/26/1900","46.5618"
"2/27/1900","46.408"
"2/28/1900","46.8548"
"3/1/1900","46.5838"
"3/2/1900","45.3824"
"3/3/1900","45.9757"
"3/5/1900","45.5069"
"3/6/1900","45.3238"
"3/7/1900","45.2945"
"3/8/1900","44.9721"
"3/9/1900","44.767"
"3/10/1900","45.1846"
"3/12/1900","46.3787"
"3/13/1900","46.0636"
"3/14/1900","45.441"
"3/15/1900","45.2798"
"3/16/1900","45.3531"
"3/17/1900","45.7853"
"3/19/1900","46.0856"
"3/20/1900","46.4812"
"3/21/1900","46.9427"
"3/22/1900","46.9281"
"3/23/1900","46.6424"
"3/24/1900","47.0746"
"3/26/1900","46.9281"
"3/27/1900","47.4042"
"3/28/1900","47.7046"
"3/29/1900","46.9354"
"3/30/1900","47.9024"
"3/31/1900","48.3639"
"4/2/1900","48.0196"
"4/3/1900","47.7412"
"4/4/1900","47.6973"
"4/5/1900","47.961"
"4/6/1900","48.4591"
"4/7/1900","48.4591"
"4/9/1900","47.9537"
"4/10/1900","47.287"
"4/11/1900","47.4555"
"4/12/1900","47.1771"
"4/16/1900","45.0893"
"4/17/1900","45.2725"
"4/18/1900","45.2871"
"4/19/1900","45.6974"
"4/20/1900","45.5655"
"4/21/1900","44.2982"
"4/23/1900","44.8256"
